"Estado","Año","Obesidad","Mortalidad_cardiovascular"
"AL",2016,35.7,222.5
"AK",2016,31.4,141
"AZ",2016,29,138.9
"AR",2016,35.7,223.7
"CA",2016,25,143.1
"CO",2016,22.3,129.8
"CT",2016,26,144.3
"DE",2016,30.7,163.2
NA,2016,22.6,NA
"FL",2016,27.4,146.2
"GA",2016,31.4,179
"HI",2016,23.8,127
"ID",2016,27.4,160
"IL",2016,31.6,165.7
"IA",2016,32,162.8
"KS",2016,31.2,159.2
"KY",2016,34.2,203
"LA",2016,35.5,213.1
"ME",2016,29.9,149.5
"MD",2016,29.9,164.3
"MA",2016,23.6,134.8
"MI",2016,32.5,200.6
"MN",2016,27.8,114.9
"MS",2016,37.3,233.1
"MO",2016,31.7,192.1
"MT",2016,25.5,154.4
"NE",2016,32,140.3
"NV",2016,25.8,205.9
"NH",2016,26.6,151.1
"NJ",2016,27.4,164.7
"NM",2016,28.3,150.6
"NY",2016,25.5,177.8
"NC",2016,31.8,155.8
"ND",2016,31.9,140.9
"OH",2016,31.5,185.1
"OK",2016,32.8,228.2
"OR",2016,28.7,135
"PA",2016,30.3,176.2
"RI",2016,26.6,152.4
"SC",2016,32.3,173.8
"SD",2016,29.6,153.4
"TN",2016,34.8,198.8
"TX",2016,33.7,167.7
"UT",2016,25.4,150
"VT",2016,27.1,158.8
"VA",2016,29,150.7
"WA",2016,28.6,136.1
"WV",2016,37.7,191
"WI",2016,30.7,154.9
"WY",2016,27.7,157.8
