"Estado","Año","Obesidad","Mortalidad_cardiovascular"
"AL",2017,36.3,223.2
"AK",2017,34.2,135
"AZ",2017,29.5,141.9
"AR",2017,35,223.8
"CA",2017,25.1,142.9
"CO",2017,22.6,122.7
"CT",2017,26.9,141.6
"DE",2017,31.8,158.4
NA,2017,23,NA
"FL",2017,28.4,145.8
"GA",2017,31.6,175.8
"HI",2017,23.8,129.8
"ID",2017,29.3,162.4
"IL",2017,31.1,163.3
"IA",2017,36.4,167.4
"KS",2017,32.4,157.9
"KY",2017,34.3,195.9
"LA",2017,36.2,214.4
"ME",2017,29.1,143.5
"MD",2017,31.3,164.5
"MA",2017,25.9,134.6
"MI",2017,32.3,196.1
"MN",2017,28.4,119.1
"MS",2017,37.3,231.6
"MO",2017,32.5,191.1
"MT",2017,25.3,155
"NE",2017,32.8,149.3
"NV",2017,26.7,199.3
"NH",2017,28.1,149.7
"NJ",2017,27.3,162.3
"NM",2017,28.4,151.4
"NY",2017,25.7,171.2
"NC",2017,32.1,156.5
"ND",2017,33.2,137.8
"OH",2017,33.8,186.2
"OK",2017,36.5,237.2
"OR",2017,29.4,134
"PA",2017,31.6,176
"RI",2017,30,155.7
"SC",2017,34.1,172
"SD",2017,31.9,150.1
"TN",2017,32.8,202.2
"TX",2017,33,169.2
"UT",2017,25.3,150.2
"VT",2017,27.6,152.5
"VA",2017,30.1,154.5
"WA",2017,27.7,138.8
"WV",2017,38.1,192
"WI",2017,32,157.6
"WY",2017,28.8,148.9
