"Estado","Año","Obesidad","Mortalidad_cardiovascular"
"AL",2020,39,237.5
"AK",2020,31.9,139.8
"AZ",2020,30.9,144.8
"AR",2020,36.4,222.5
"CA",2020,30.3,144
"CO",2020,24.2,128.1
"CT",2020,29.2,138.4
"DE",2020,36.5,159.6
NA,2020,24.3,NA
"FL",2020,28.4,143.1
"GA",2020,34.3,183.7
"HI",2020,24.5,125
"ID",2020,31.1,151.9
"IL",2020,32.4,171.4
"IA",2020,36.5,172.9
"KS",2020,35.3,167
"KY",2020,36.6,204.5
"LA",2020,38.1,221.5
"ME",2020,31,146.2
"MD",2020,31,168.3
"MA",2020,24.4,126.9
"MI",2020,35.2,205
"MN",2020,30.7,118.1
"MS",2020,39.7,245.6
"MO",2020,34,196.7
"MT",2020,28.5,162.7
"NE",2020,34,143.8
"NV",2020,28.7,201.3
"NH",2020,29.9,146.5
"NJ",2020,27.7,166.3
"NM",2020,30.9,152.7
"NY",2020,26.3,183.9
"NC",2020,33.6,156.2
"ND",2020,33.1,147.3
"OH",2020,35.5,196.9
"OK",2020,36.4,244.1
"OR",2020,28.1,134
"PA",2020,31.5,175.7
"RI",2020,30.1,150.5
"SC",2020,36.2,170.9
"SD",2020,33.2,155.2
"TN",2020,35.6,212
"TX",2020,35.8,173.9
"UT",2020,28.6,155.6
"VT",2020,26.3,167.1
"VA",2020,32.2,152
"WA",2020,28,134.6
"WV",2020,39.1,197.8
"WI",2020,32.3,162.2
"WY",2020,30.7,160.4
