"Estado","Año","Obesidad","Mortalidad_cardiovascular"
"AL",2018,36.2,224.7
"AK",2018,29.5,129.7
"AZ",2018,29.5,136.4
"AR",2018,37.1,217.4
"CA",2018,25.8,139.7
"CO",2018,23,124.3
"CT",2018,27.4,142.1
"DE",2018,33.5,159.1
NA,2018,24.7,NA
"FL",2018,30.7,143.1
"GA",2018,32.5,175.8
"HI",2018,24.9,125.6
"ID",2018,28.4,157.9
"IL",2018,31.8,163.9
"IA",2018,35.3,165.1
"KS",2018,34.4,158.9
"KY",2018,36.6,198.3
"LA",2018,36.8,212.2
"ME",2018,30.4,147
"MD",2018,30.9,161.9
"MA",2018,25.7,131.5
"MI",2018,33,195
"MN",2018,30.1,119
"MS",2018,39.5,222.1
"MO",2018,35,188.4
"MT",2018,26.9,163.2
"NE",2018,34.1,145.7
"NV",2018,29.5,190.7
"NH",2018,29.6,151
"NJ",2018,25.7,163
"NM",2018,32.3,148.2
"NY",2018,27.6,171.9
"NC",2018,33,155.5
"ND",2018,35.1,140
"OH",2018,34,191.1
"OK",2018,34.8,228.5
"OR",2018,29.9,128.4
"PA",2018,30.9,176.1
"RI",2018,27.7,158.9
"SC",2018,34.3,167
"SD",2018,30.1,156.3
"TN",2018,34.4,202.4
"TX",2018,34.8,170
"UT",2018,27.8,146.4
"VT",2018,27.5,150.5
"VA",2018,30.4,147.9
"WA",2018,28.7,135.4
"WV",2018,39.5,196.4
"WI",2018,32,157.8
"WY",2018,29,152.7
