"Estado","Año","Obesidad","Mortalidad_cardiovascular"
"AL",2019,36.1,219.6
"AK",2019,30.5,129.7
"AZ",2019,31.4,134
"AR",2019,37.4,226.5
"CA",2019,26.2,136.9
"CO",2019,23.8,127.7
"CT",2019,29.1,143.1
"DE",2019,34.4,154.3
NA,2019,23.8,NA
"FL",2019,27,140.1
"GA",2019,33.1,175.5
"HI",2019,25,120.3
"ID",2019,29.5,150.7
"IL",2019,31.6,162
"IA",2019,33.9,172.9
"KS",2019,35.2,166
"KY",2019,36.5,196.4
"LA",2019,35.9,207.8
"ME",2019,31.7,142.4
"MD",2019,32.3,159.3
"MA",2019,25.2,127.2
"MI",2019,36,193.8
"MN",2019,30.1,116.7
"MS",2019,40.8,226.7
"MO",2019,34.8,187
"MT",2019,28.3,157.1
"NE",2019,34.1,144.9
"NV",2019,30.6,198.1
"NH",2019,31.8,143.4
"NJ",2019,26.7,158
"NM",2019,31.7,158.2
"NY",2019,27.1,166.6
"NC",2019,34,154.7
"ND",2019,34.8,147.7
"OH",2019,34.8,188.8
"OK",2019,36.8,231.4
"OR",2019,29,131
"PA",2019,33.2,172.9
"RI",2019,30,159.3
"SC",2019,35.4,164
"SD",2019,33,158.1
"TN",2019,36.5,202.8
"TX",2019,34,163.4
"UT",2019,29.2,146.5
"VT",2019,26.6,151.6
"VA",2019,31.9,149.1
"WA",2019,28.3,134.8
"WV",2019,39.7,197.4
"WI",2019,34.2,158.8
"WY",2019,29.7,150.4
