"Estado","Año","Obesidad","Mortalidad_cardiovascular"
"AL",2022,38.3,234.2
"AK",2022,32.1,145.7
"AZ",2022,33.2,148.5
"AR",2022,37.4,224.1
"CA",2022,28.1,142.4
"CO",2022,25,131.4
"CT",2022,30.6,137.8
"DE",2022,37.9,156.8
NA,2022,24.3,NA
"FL",2022,31.6,140.9
"GA",2022,37,183.9
"HI",2022,25.9,128.4
"ID",2022,33.2,156.3
"IL",2022,33.4,166.6
"IA",2022,37.4,176.8
"KS",2022,35.7,173.2
"KY",2022,37.7,208.6
"LA",2022,40.1,224
"ME",2022,33.1,167.1
"MD",2022,33.2,155.8
"MA",2022,27.2,132.3
"MI",2022,34.5,206.3
"MN",2022,33.6,124.1
"MS",2022,39.5,248
"MO",2022,36.4,199.8
"MT",2022,30.5,165.9
"NE",2022,35.3,154.3
"NV",2022,33.5,196.8
"NH",2022,30.2,147.5
"NJ",2022,29.1,152.8
"NM",2022,32.4,156.8
"NY",2022,30.1,159.2
"NC",2022,34.1,165.8
"ND",2022,35.4,155
"OH",2022,38.1,193.9
"OK",2022,40,257.1
"OR",2022,30.9,145.4
"PA",2022,33.4,173.4
"RI",2022,30.8,152.6
"SC",2022,35,177.7
"SD",2022,36.8,158.2
"TN",2022,38.9,218.3
"TX",2022,35.5,172.3
"UT",2022,31.1,159.4
"VT",2022,26.8,165.1
"VA",2022,35.2,159.2
"WA",2022,31.7,142.7
"WV",2022,41,209.5
"WI",2022,37.7,166.6
"WY",2022,34.3,157.1
