"Estado","Año","Obesidad","Mortalidad_cardiovascular"
"AL",2015,35.6,229.7
"AK",2015,29.8,154.1
"AZ",2015,28.4,138.8
"AR",2015,34.5,223.2
"CA",2015,24.2,145.6
"CO",2015,20.2,128.4
"CT",2015,25.3,147.8
"DE",2015,29.7,165.2
NA,2015,22.1,NA
"FL",2015,26.8,149.8
"GA",2015,30.7,180.2
"HI",2015,22.7,135.6
"ID",2015,28.6,156.4
"IL",2015,30.8,171.5
"IA",2015,32.1,160.9
"KS",2015,34.2,158.5
"KY",2015,34.6,197.8
"LA",2015,36.2,212.1
"ME",2015,30,157.3
"MD",2015,28.9,169.3
"MA",2015,24.3,138.5
"MI",2015,31.2,198.9
"MN",2015,26.1,116.6
"MS",2015,35.6,240.5
"MO",2015,32.4,197.9
"MT",2015,23.6,155.8
"NE",2015,31.4,154.5
"NV",2015,26.7,200.9
"NH",2015,26.3,149
"NJ",2015,25.6,166.7
"NM",2015,28.8,142.4
"NY",2015,25,181.6
"NC",2015,30.1,162.4
"ND",2015,31,142.4
"OH",2015,29.8,191.7
"OK",2015,33.9,234
"OR",2015,30.1,136.1
"PA",2015,30,177.8
"RI",2015,26,160.4
"SC",2015,31.7,177.8
"SD",2015,30.4,150.9
"TN",2015,33.8,207.3
"TX",2015,32.4,171.6
"UT",2015,24.5,152.9
"VT",2015,25.1,152.5
"VA",2015,29.2,154.2
"WA",2015,26.4,137.6
"WV",2015,35.6,191.3
"WI",2015,30.7,156
"WY",2015,29,159.4
