"Estado","Año","Obesidad","Mortalidad_cardiovascular"
"AL",2014,33.5,224
"AK",2014,29.7,146.6
"AZ",2014,28.9,136.4
"AR",2014,35.9,217.5
"CA",2014,24.7,142.2
"CO",2014,21.3,130.3
"CT",2014,26.3,145.6
"DE",2014,30.7,168.7
NA,2014,21.7,NA
"FL",2014,26.2,151.3
"GA",2014,30.5,179.7
"HI",2014,22.1,136.7
"ID",2014,28.9,152.8
"IL",2014,29.3,169.7
"IA",2014,30.9,157.3
"KS",2014,31.3,157.4
"KY",2014,31.6,200.5
"LA",2014,34.9,216.3
"ME",2014,28.2,147.9
"MD",2014,29.6,167.8
"MA",2014,23.3,137.1
"MI",2014,30.7,200.9
"MN",2014,27.6,116.5
"MS",2014,35.5,229.9
"MO",2014,30.2,194.7
"MT",2014,26.4,147.8
"NE",2014,30.2,143
"NV",2014,27.7,197.2
"NH",2014,27.4,147.9
"NJ",2014,26.9,166.3
"NM",2014,28.4,143.3
"NY",2014,27,178.3
"NC",2014,29.7,158.7
"ND",2014,32.2,149.2
"OH",2014,32.6,186.4
"OK",2014,33,228.1
"OR",2014,27.9,132.1
"PA",2014,30.2,175.8
"RI",2014,27,160.8
"SC",2014,32.1,181.1
"SD",2014,29.8,154.6
"TN",2014,31.2,205.6
"TX",2014,31.9,169.9
"UT",2014,25.7,151
"VT",2014,24.8,156.6
"VA",2014,28.5,156.1
"WA",2014,27.3,137.2
"WV",2014,35.7,192.9
"WI",2014,31.2,155.1
"WY",2014,29.5,162.2
